id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
8797,2026-05-30,2026,5,30,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,98000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8798,2026-05-30,2026,5,30,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,12.0,84.99,84타입,90200,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8799,2026-05-30,2026,5,30,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,15.0,84.99,84타입,87000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8800,2026-05-29,2026,5,29,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,100500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8804,2026-05-27,2026,5,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,102000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8805,2026-05-27,2026,5,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,96500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8806,2026-05-23,2026,5,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,103000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8807,2026-05-22,2026,5,22,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,16.0,84.99,84타입,92000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8814,2026-05-15,2026,5,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,95800,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8815,2026-05-15,2026,5,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,93000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8818,2026-05-01,2026,5,1,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,3.0,84.99,84타입,84300,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8822,2026-05-05,2026,5,5,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,98700,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8823,2026-05-04,2026,5,4,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,95000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8824,2026-05-02,2026,5,2,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,98800,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8825,2026-05-02,2026,5,2,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,95500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8827,2026-05-02,2026,5,2,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,11.0,84.99,84타입,92500,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8828,2026-07-24,2026,7,24,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,111000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8829,2026-07-31,2026,7,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,6.0,84.99,84타입,90000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8830,2026-07-31,2026,7,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,18.0,84.99,84타입,95000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8832,2026-07-28,2026,7,28,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,99000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8834,2026-07-23,2026,7,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,104000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8835,2026-07-23,2026,7,23,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,3.0,84.99,84타입,87000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8836,2026-07-23,2026,7,23,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,20.0,84.97,84타입,104000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8839,2026-07-21,2026,7,21,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,2.0,84.99,84타입,90000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8843,2026-07-14,2026,7,14,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,7.0,84.99,84타입,90000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8844,2026-07-14,2026,7,14,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,9.0,84.99,84타입,94300,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8845,2026-07-13,2026,7,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,89500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8846,2026-07-13,2026,7,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,103400,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8847,2026-07-11,2026,7,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,107500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8849,2026-07-10,2026,7,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,105000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8852,2026-07-08,2026,7,8,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,88700,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8853,2026-07-06,2026,7,6,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,6.0,84.99,84타입,92000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8854,2026-07-07,2026,7,7,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,18.0,84.97,84타입,104000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8855,2026-07-06,2026,7,6,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,98000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8856,2026-07-04,2026,7,4,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,100500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8857,2026-07-03,2026,7,3,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,7.0,84.99,84타입,88000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8859,2026-07-03,2026,7,3,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,17.0,84.99,84타입,89000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8861,2026-07-02,2026,7,2,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,89500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8863,2026-07-01,2026,7,1,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,107000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8864,2026-08-29,2026,8,29,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,95500,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8865,2026-08-22,2026,8,22,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,9.0,84.99,84타입,99000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8866,2026-08-25,2026,8,25,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,1.0,84.99,84타입,88000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8868,2026-08-13,2026,8,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,108500,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8870,2026-08-13,2026,8,13,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,1.0,84.99,84타입,85000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8872,2026-08-11,2026,8,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,110000,2023,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
8873,2026-08-11,2026,8,11,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,12.0,84.99,84타입,94000,2024,미상,2026-09-06 08:22:11,,,False,2,False,중개거래
