id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,is_sk,price,month,floor_tier,cell,days
15257,2025-12-13,2025,12,13,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,18.0,84.99,84타입,93000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,9.3,2025-12,16층 이상,2025-12 / 16층 이상,678
15248,2025-12-17,2025,12,17,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,9.0,84.99,84타입,86500,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.65,2025-12,6–15층,2025-12 / 6–15층,682
15245,2025-12-19,2025,12,19,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,95500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.55,2025-12,6–15층,2025-12 / 6–15층,684
15235,2025-12-20,2025,12,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,94000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.4,2025-12,6–15층,2025-12 / 6–15층,685
15234,2025-12-20,2025,12,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,97000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.7,2025-12,6–15층,2025-12 / 6–15층,685
15225,2025-12-26,2025,12,26,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,94700,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.47,2025-12,6–15층,2025-12 / 6–15층,691
15221,2025-12-27,2025,12,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2025-12,6–15층,2025-12 / 6–15층,692
16322,2026-01-08,2026,01,08,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,96000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,1,9.6,2026-01,6–15층,2026-01 / 6–15층,704
16320,2026-01-09,2026,01,09,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,95200,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,1,9.52,2026-01,6–15층,2026-01 / 6–15층,705
16315,2026-01-14,2026,01,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,98000,2023,중개거래,2026-09-06 10:26:01,,,False,2,False,1,9.8,2026-01,6–15층,2026-01 / 6–15층,710
